Name,class,gender,send,pupil.premium,subject,standard
1,1,b,send,pp,reading,1
2,1,b,notSend,notPP,reading,1
3,1,b,notSend,notPP,reading,1
4,1,b,notSend,notPP,reading,2
5,1,b,notSend,notPP,reading,2
6,1,b,notSend,pp,reading,2
7,1,b,notSend,notPP,reading,2
8,1,b,notSend,notPP,reading,2
9,1,b,send,pp,reading,2
10,1,b,send,notPP,reading,2
11,1,b,notSend,notPP,reading,2
12,1,b,notSend,notPP,reading,3
13,1,b,notSend,notPP,reading,3
14,1,b,notSend,notPP,reading,3
15,1,b,notSend,pp,reading,3
16,1,g,notSend,notPP,reading,3
17,1,g,notSend,notPP,reading,1
18,1,g,notSend,notPP,reading,2
19,1,g,notSend,notPP,reading,2
20,1,g,notSend,notPP,reading,2
21,1,g,notSend,notPP,reading,2
22,1,g,notSend,notPP,reading,3
23,1,g,send,notPP,reading,3
24,1,g,notSend,notPP,reading,3
25,1,g,notSend,notPP,reading,3
26,1,g,notSend,notPP,reading,3
27,1,g,notSend,pp,reading,3
28,1,g,notSend,pp,reading,3
29,1,g,notSend,notPP,reading,3
30,1,g,notSend,notPP,reading,3
31,2,b,send,pp,reading,1
32,2,b,notSend,notPP,reading,1
33,2,b,notSend,notPP,reading,1
34,2,b,notSend,notPP,reading,1
35,2,b,notSend,notPP,reading,1
36,2,b,send,pp,reading,2
37,2,b,notSend,notPP,reading,2
38,2,b,notSend,notPP,reading,2
39,2,b,send,pp,reading,2
40,2,b,send,pp,reading,2
41,2,b,notSend,notPP,reading,2
42,2,b,notSend,notPP,reading,2
43,2,b,notSend,notPP,reading,3
44,2,b,notSend,notPP,reading,3
45,2,b,notSend,pp,reading,3
46,2,g,notSend,notPP,reading,3
47,2,g,notSend,notPP,reading,1
48,2,g,notSend,notPP,reading,2
49,2,g,notSend,notPP,reading,2
50,2,g,notSend,notPP,reading,2
51,2,g,notSend,notPP,reading,2
52,2,g,notSend,notPP,reading,2
53,2,g,send,notPP,reading,3
54,2,g,notSend,notPP,reading,3
55,2,g,notSend,notPP,reading,3
56,2,g,notSend,notPP,reading,3
57,2,g,notSend,pp,reading,3
58,2,g,notSend,pp,reading,3
59,2,g,notSend,notPP,reading,3
60,2,g,notSend,notPP,reading,3
61,2,b,send,pp,reading,1
62,2,b,notSend,notPP,reading,1
63,2,b,notSend,notPP,reading,2
64,2,b,notSend,notPP,reading,2
65,2,b,notSend,notPP,reading,2
66,2,b,send,pp,reading,2
67,2,b,notSend,notPP,reading,2
68,2,b,notSend,notPP,reading,2
69,2,b,notSend,pp,reading,3
70,2,b,send,pp,reading,2
71,2,b,notSend,notPP,reading,3
72,2,b,notSend,notPP,reading,3
73,2,b,notSend,notPP,reading,3
74,2,b,notSend,notPP,reading,3
75,2,b,notSend,pp,reading,3
76,2,g,notSend,notPP,reading,3
77,2,g,notSend,notPP,reading,1
78,2,g,notSend,notPP,reading,1
79,2,g,send,notPP,reading,1
80,2,g,send,pp,reading,2
81,2,g,notSend,notPP,reading,2
82,2,g,notSend,notPP,reading,2
83,2,g,send,notPP,reading,2
84,2,g,notSend,notPP,reading,2
85,2,g,notSend,notPP,reading,2
86,2,g,notSend,notPP,reading,2
87,2,g,notSend,pp,reading,3
88,2,g,notSend,pp,reading,3
89,2,g,notSend,notPP,reading,3
90,2,g,notSend,notPP,reading,3
